"dateid01","charv","churb"
1/1/1982,44.47,56.15
2/1/1982,43.97,55.92
3/1/1982,43.46,55.76
4/1/1982,43.04,55.76
5/1/1982,42.83,56.02
6/1/1982,42.84,56.47
7/1/1982,43.08,56.76
8/1/1982,43.5,56.46
9/1/1982,44.02,55.69
10/1/1982,44.54,54.91
11/1/1982,45.02,54.13
12/1/1982,45.48,53.54
1/1/1983,45.87,53.94
2/1/1983,46.22,55.16
3/1/1983,46.57,56.43
4/1/1983,46.8,57.47
5/1/1983,46.91,58.12
6/1/1983,46.99,58.39
7/1/1983,47.21,58.49
8/1/1983,47.64,58.67
9/1/1983,48,58.93
10/1/1983,48.09,59.1
11/1/1983,48.04,59.06
12/1/1983,48.1,58.89
1/1/1984,48.25,58.8
2/1/1984,48.44,58.95
3/1/1984,48.72,59.33
4/1/1984,49,59.88
5/1/1984,49.3,60.41
6/1/1984,49.73,60.69
7/1/1984,50.2,60.75
8/1/1984,50.37,60.66
9/1/1984,50.08,60.62
10/1/1984,49.7,60.71
11/1/1984,49.57,60.75
12/1/1984,49.72,60.7
1/1/1985,49.99,60.87
2/1/1985,50.2,61.24
3/1/1985,50.43,61.48
4/1/1985,50.77,61.49
5/1/1985,51.01,61.58
6/1/1985,51.14,61.91
7/1/1985,51.38,62.19
8/1/1985,51.64,62.5
9/1/1985,51.77,62.79
10/1/1985,51.71,62.88
11/1/1985,51.67,62.92
12/1/1985,51.74,62.97
1/1/1986,51.89,62.93
2/1/1986,52.2,62.97
3/1/1986,52.56,63.24
4/1/1986,52.86,63.7
5/1/1986,53.29,64.28
6/1/1986,53.85,64.83
7/1/1986,54.35,65.25
8/1/1986,54.68,65.32
9/1/1986,54.91,65.15
10/1/1986,55.06,65.11
11/1/1986,55.15,65.15
12/1/1986,55.26,65.05
1/1/1987,55.34,64.73
2/1/1987,55.38,65.01
3/1/1987,55.54,65.96
4/1/1987,55.98,66.7
5/1/1987,56.65,67.28
6/1/1987,57.36,67.67
7/1/1987,58.01,67.85
8/1/1987,58.44,68.06
9/1/1987,58.68,68.22
10/1/1987,58.98,68.14
11/1/1987,59.36,67.92
12/1/1987,59.68,67.81
1/1/1988,59.89,67.89
2/1/1988,60.11,68.07
3/1/1988,60.47,68.49
4/1/1988,61.05,69.11
5/1/1988,61.75,69.67
6/1/1988,62.43,70.08
7/1/1988,62.95,70.41
8/1/1988,63.23,70.63
9/1/1988,63.53,70.49
10/1/1988,64.07,70.15
11/1/1988,64.69,70.06
12/1/1988,65.24,70.14
1/1/1989,65.72,70.22
2/1/1989,66.29,70.41
3/1/1989,67,70.67
4/1/1989,67.73,70.92
5/1/1989,68.31,71.15
6/1/1989,68.75,71.43
7/1/1989,69.15,71.58
8/1/1989,69.54,71.52
9/1/1989,69.94,71.53
10/1/1989,70.33,71.62
11/1/1989,70.74,71.53
12/1/1989,71.11,71.37
1/1/1990,71.32,71.31
2/1/1990,71.44,71.38
3/1/1990,71.69,71.65
4/1/1990,72.16,71.99
5/1/1990,72.63,72.26
6/1/1990,72.96,72.42
7/1/1990,73.25,72.5
8/1/1990,73.37,72.46
9/1/1990,73.24,72.37
10/1/1990,72.99,72.42
11/1/1990,72.77,72.37
12/1/1990,72.72,72.17
1/1/1991,72.8,72.17
2/1/1991,72.97,72.43
3/1/1991,73.24,72.77
4/1/1991,73.52,73.09
5/1/1991,73.77,73.27
6/1/1991,74.09,73.43
7/1/1991,74.2,73.61
8/1/1991,74.1,73.7
9/1/1991,74.22,73.71
10/1/1991,74.59,73.79
11/1/1991,74.9,73.88
12/1/1991,75.05,73.85
1/1/1992,75.23,73.91
2/1/1992,75.6,74.29
3/1/1992,75.88,74.71
4/1/1992,75.82,74.91
5/1/1992,75.68,75
6/1/1992,75.73,75.09
7/1/1992,76,75.26
8/1/1992,76.35,75.3
9/1/1992,76.58,75.35
10/1/1992,76.65,75.45
11/1/1992,76.59,75.39
12/1/1992,76.21,75.12
1/1/1993,75.82,74.97
2/1/1993,75.77,75
3/1/1993,75.94,75.2
4/1/1993,76.29,75.75
5/1/1993,76.66,76.44
6/1/1993,76.81,76.91
7/1/1993,76.82,77.08
8/1/1993,76.83,77.27
9/1/1993,76.8,77.47
10/1/1993,76.79,77.36
11/1/1993,76.82,77.27
12/1/1993,76.73,77.45
1/1/1994,76.68,77.69
2/1/1994,76.77,78.07
3/1/1994,76.99,78.67
4/1/1994,77.48,79.38
5/1/1994,78.02,80.07
6/1/1994,78.43,80.72
7/1/1994,78.62,81.3
8/1/1994,78.61,81.63
9/1/1994,78.52,81.64
10/1/1994,78.49,81.52
11/1/1994,78.57,81.43
12/1/1994,78.59,81.52
1/1/1995,78.52,81.62
2/1/1995,78.48,81.63
3/1/1995,78.55,81.82
4/1/1995,78.67,82.27
5/1/1995,78.7,82.78
6/1/1995,78.81,83.31
7/1/1995,79.07,83.77
8/1/1995,79.32,84.03
9/1/1995,79.38,84.11
10/1/1995,79.32,84.01
11/1/1995,79.34,84.05
12/1/1995,79.45,84.1
1/1/1996,79.53,83.97
2/1/1996,79.59,84.07
3/1/1996,79.83,84.58
4/1/1996,80.4,85.34
5/1/1996,81.02,85.95
6/1/1996,81.3,86.26
7/1/1996,81.19,86.43
8/1/1996,81,86.41
9/1/1996,80.89,86.27
10/1/1996,80.81,86.31
11/1/1996,80.81,86.25
12/1/1996,81.02,86.02
1/1/1997,81.3,85.98
2/1/1997,81.48,86.26
3/1/1997,81.8,86.88
4/1/1997,82.31,87.76
5/1/1997,82.92,88.54
6/1/1997,83.33,88.99
7/1/1997,83.37,89.2
8/1/1997,83.36,89.28
9/1/1997,83.49,89.28
10/1/1997,83.62,89.26
11/1/1997,83.59,89.22
12/1/1997,83.38,88.95
1/1/1998,83.16,88.76
2/1/1998,83.31,89.11
3/1/1998,83.88,89.88
4/1/1998,84.4,90.69
5/1/1998,84.73,91.38
6/1/1998,85.1,91.97
7/1/1998,85.39,92.41
8/1/1998,85.45,92.63
9/1/1998,85.46,92.56
10/1/1998,85.58,92.69
11/1/1998,85.91,92.92
12/1/1998,86.25,92.85
1/1/1999,86.58,92.76
2/1/1999,86.96,92.79
3/1/1999,87.47,93.13
4/1/1999,88.2,93.84
5/1/1999,89.04,94.57
6/1/1999,89.76,95.19
7/1/1999,90.37,95.59
8/1/1999,91.06,95.76
9/1/1999,91.63,95.83
10/1/1999,91.91,95.69
11/1/1999,92.07,95.48
12/1/1999,92.29,95.6
1/1/2000,92.5,95.78
2/1/2000,92.94,96.07
3/1/2000,93.95,96.89
4/1/2000,95.16,97.84
5/1/2000,96.38,98.76
6/1/2000,97.43,99.51
7/1/2000,98.08,100.04
8/1/2000,98.47,100.28
9/1/2000,98.72,100.22
10/1/2000,99.06,100.15
11/1/2000,99.57,100.09
12/1/2000,100,100
1/1/2001,100.36,99.91
2/1/2001,101.09,100.19
3/1/2001,102.15,100.96
4/1/2001,103.36,101.92
5/1/2001,104.63,102.72
6/1/2001,105.75,103.26
7/1/2001,106.51,103.86
8/1/2001,106.96,104.32
9/1/2001,107.4,104.48
10/1/2001,107.73,104.42
11/1/2001,107.94,104.23
12/1/2001,108.52,104.24
1/1/2002,109.47,104.56
2/1/2002,110.57,105.15
3/1/2002,111.79,106.19
4/1/2002,113.18,107.53
5/1/2002,114.77,108.76
6/1/2002,116.36,109.73
7/1/2002,117.72,110.38
8/1/2002,118.75,110.79
9/1/2002,119.43,111.01
10/1/2002,119.95,111.19
11/1/2002,120.15,111.19
12/1/2002,120.32,111.02
1/1/2003,120.96,111.06
2/1/2003,122,111.41
3/1/2003,123.4,112.19
4/1/2003,125.01,113.45
5/1/2003,126.54,114.77
6/1/2003,127.92,115.81
7/1/2003,129.11,116.85
8/1/2003,130.25,117.8
9/1/2003,131.27,118.39
10/1/2003,131.83,118.83
11/1/2003,132.13,118.97
12/1/2003,132.54,118.82
1/1/2004,133.17,118.85
2/1/2004,134.29,119.13
3/1/2004,136.12,119.89
4/1/2004,138.71,121.34
5/1/2004,141.58,123.1
6/1/2004,144.26,124.41
7/1/2004,146.47,125.11
8/1/2004,148.05,125.51
9/1/2004,149.2,125.32
10/1/2004,150.2,124.94
11/1/2004,151.34,124.95
12/1/2004,152.46,125.17
1/1/2005,153.63,125.3
2/1/2005,155.43,125.56
3/1/2005,158.19,126.39
4/1/2005,161.6,127.62
5/1/2005,165.25,128.85
6/1/2005,168.41,129.75
7/1/2005,170.71,130.49
8/1/2005,172.5,130.94
9/1/2005,173.76,130.95
10/1/2005,174.59,130.79
11/1/2005,175.19,130.62
12/1/2005,175.66,130.44
1/1/2006,176.5,130.49
2/1/2006,177.66,130.94
3/1/2006,179.16,131.65
4/1/2006,181.31,132.7
5/1/2006,183.35,134.02
6/1/2006,184.54,134.85
7/1/2006,185.17,135.2
8/1/2006,185.08,135.14
9/1/2006,184.24,134.54
10/1/2006,183.77,133.79
11/1/2006,183.53,132.97
12/1/2006,182.83,132.4
1/1/2007,182.55,132.35
2/1/2007,183.46,132.85
3/1/2007,184.95,133.66
4/1/2007,186.55,134.43
5/1/2007,188.03,135.2
6/1/2007,188.48,136.03
7/1/2007,187.75,136.43
8/1/2007,186.95,136.11
9/1/2007,185.85,135.33
10/1/2007,183.89,134.48
11/1/2007,181.65,133.42
12/1/2007,179.89,132.13
1/1/2008,178.95,131.13
2/1/2008,178.34,130.91
3/1/2008,177.89,131.72
4/1/2008,178.01,132.93
5/1/2008,178.5,133.96
6/1/2008,178.65,134.84
7/1/2008,178.16,135.57
8/1/2008,177.28,135.34
9/1/2008,175.98,134.26
10/1/2008,173.82,133.35
11/1/2008,170.47,131.78
12/1/2008,166.79,129.44
1/1/2009,164.4,127.83
2/1/2009,164.08,127.47
3/1/2009,164.84,127.99
4/1/2009,165.63,128.85
5/1/2009,166.74,130.21
6/1/2009,167.93,131.8
7/1/2009,168.2,132.6
8/1/2009,167.4,132.48
9/1/2009,166.38,131.94
10/1/2009,165.81,131.17
11/1/2009,165.05,130.02
12/1/2009,163.58,128.75
1/1/2010,162.2,128.02
2/1/2010,161.83,128.11
3/1/2010,162.4,128.94
4/1/2010,163.35,130.34
5/1/2010,164.24,131.53
6/1/2010,164.12,131.47
7/1/2010,162.63,130.37
8/1/2010,160.47,129.26
9/1/2010,158.49,128.26
10/1/2010,156.94,127.36
11/1/2010,155.37,125.95
12/1/2010,153.46,123.99
1/1/2011,151.98,122.96
2/1/2011,151.79,123.07
3/1/2011,152.89,123.6
4/1/2011,154.71,124.12
5/1/2011,156.09,124.82
6/1/2011,156.44,125.64
7/1/2011,155.81,125.98
8/1/2011,154.86,125.56
9/1/2011,153.89,124.51
10/1/2011,152.73,123.06
11/1/2011,151.37,121.54
12/1/2011,149.91,119.82
1/1/2012,149,118.44
2/1/2012,149.15,118.38
3/1/2012,150.51,119.8
4/1/2012,152.64,122.1
5/1/2012,154.72,124.21
6/1/2012,156.15,125.21
7/1/2012,156.78,125.1
8/1/2012,156.73,124.32
9/1/2012,156.47,123.35
10/1/2012,156.14,122.59
11/1/2012,155.32,121.82
12/1/2012,154.29,120.53
1/1/2013,154.03,119.38
2/1/2013,155,119.44
3/1/2013,156.82,121.03
4/1/2013,159.03,123.43
5/1/2013,161.15,125.45
6/1/2013,162.58,126.85
7/1/2013,163.09,127.4
8/1/2013,162.87,126.97
9/1/2013,162.19,125.69
10/1/2013,161.19,124.53
11/1/2013,160.08,123.56
12/1/2013,159.41,122.19
1/1/2014,159.36,121.37
2/1/2014,160.25,121.59
3/1/2014,162.13,122.83
4/1/2014,164.19,124.89
5/1/2014,165.83,127.11
6/1/2014,166.78,128.76
7/1/2014,166.89,129.51
8/1/2014,166.36,129.19
9/1/2014,165.52,128.27
10/1/2014,164.81,127.34
11/1/2014,164.39,126.36
12/1/2014,163.87,125.17
1/1/2015,163.3,124.24
2/1/2015,163.52,124.34
3/1/2015,164.88,125.84
4/1/2015,166.74,128.24
5/1/2015,168.55,130.48
6/1/2015,169.86,131.77
7/1/2015,170.36,131.8
8/1/2015,170.43,131.12
9/1/2015,170.33,130.52
10/1/2015,169.89,130.03
11/1/2015,169.38,129.1
12/1/2015,168.87,127.93
